Date,Tier,OTM,ShortOTM,LongOTM,Safety,Premium,PnL,DaysHeld,Result,Risk,Side,VIX,ATR,Score,Size,Week,WeekCap,Year,Regime
2016-04-12,Cautious,650,650,850,100.0,40,16.0,5,WIN,160.0,Bull Put,16.02,53.1,0,1.5,2016_15,300.0,2016,elevated
2016-04-20,Wednesday-MW,600,600,800,100.0,50,24.0,5,WIN,150.0,Bull Put,17.08,62.0,0,0.75,2016_16,300.0,2016,elevated
2016-04-21,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.51,64.3,1,1.5,2016_16,300.0,2016,elevated
2016-04-25,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.57,64.7,0,1.5,2016_17,300.0,2016,elevated
2016-04-26,Normal,550,550,750,99.7,60,31.0,7,WIN,140.0,Bull Put,16.58,70.9,0,1.5,2016_17,300.0,2016,elevated
2016-05-02,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,17.09,76.7,0,1.5,2016_18,300.0,2016,elevated
2016-05-03,Cautious,650,650,850,99.7,40,16.0,5,WIN,160.0,Bull Put,17.46,82.3,1,1.5,2016_18,300.0,2016,elevated
2016-05-09,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,16.61,82.7,0,1.5,2016_19,300.0,2016,elevated
2016-05-10,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,16.42,81.0,0,1.5,2016_19,300.0,2016,elevated
2016-05-16,Normal,550,550,750,98.4,60,31.0,6,WIN,140.0,Bull Put,17.03,85.9,0,1.5,2016_20,300.0,2016,elevated
2016-05-17,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,16.37,85.6,0,1.5,2016_20,300.0,2016,elevated
2016-05-23,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,16.16,86.4,0,1.5,2016_21,300.0,2016,elevated
2016-05-24,Normal,550,550,750,98.7,60,31.0,5,WIN,140.0,Bull Put,16.22,83.5,0,1.5,2016_21,300.0,2016,elevated
2016-05-31,Normal,550,550,750,97.9,60,31.0,5,WIN,140.0,Bull Put,16.05,89.9,1,1.5,2016_22,300.0,2016,elevated
2016-06-01,Wednesday-MW,600,600,800,99.1,50,24.0,5,WIN,150.0,Bull Put,15.84,87.4,1,0.75,2016_22,420.0,2016,normal
2016-06-06,Monday-RW,600,600,800,99.5,45,20.9,6,WIN,155.0,Bull Put,15.36,81.4,0,0.75,2016_23,420.0,2016,normal
2016-06-07,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.87,81.9,1,1.5,2016_23,420.0,2016,normal
2016-06-14,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,17.19,81.4,1,1.5,2016_24,300.0,2016,elevated
2016-06-15,Wednesday-MW,600,600,800,99.4,50,24.0,5,WIN,150.0,Bull Put,17.06,82.9,1,0.75,2016_24,300.0,2016,elevated
2016-06-20,Normal,550,550,750,98.2,60,31.0,6,WIN,140.0,Bull Put,17.52,87.9,0,1.5,2016_25,300.0,2016,elevated
2016-06-21,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,17.26,85.5,0,1.5,2016_25,300.0,2016,elevated
2016-06-27,Normal,550,550,750,95.7,60,31.0,5,WIN,140.0,Bull Put,18.53,102.9,1,1.5,2016_26,300.0,2016,elevated
2016-06-28,Normal,550,550,750,96.3,60,31.0,5,WIN,140.0,Bull Put,17.73,99.4,0,1.5,2016_26,300.0,2016,elevated
2016-07-04,Monday-RW,600,600,800,98.3,45,20.9,5,WIN,155.0,Bull Put,15.58,95.0,1,0.75,2016_27,420.0,2016,normal
2016-07-05,Normal,550,550,750,97.5,60,31.0,5,WIN,140.0,Bull Put,15.36,92.5,1,1.5,2016_27,420.0,2016,normal
2016-07-12,Normal,550,550,750,98.0,60,31.0,5,WIN,140.0,Bull Put,14.78,89.1,1,1.5,2016_28,420.0,2016,normal
2016-07-13,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,15.33,86.2,2,1.5,2016_28,420.0,2016,normal
2016-07-18,Monday-RW,600,600,800,99.2,45,20.9,5,WIN,155.0,Bull Put,15.99,85.5,1,0.75,2016_29,420.0,2016,normal
2016-07-19,NarrowCondor,400+400,400,600,92.9,220,116.0,6,WIN,180.0,Condor,15.8,83.8,1,1.0,2016_29,420.0,2016,normal
2016-07-25,Monday-RW,600,600,800,99.4,45,20.9,5,WIN,155.0,Bull Put,15.72,82.9,1,0.75,2016_30,420.0,2016,normal
2016-07-26,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,15.62,81.8,0,1.5,2016_30,420.0,2016,normal
2016-08-01,Monday-RW,600,600,800,99.5,45,20.9,5,WIN,155.0,Bull Put,15.18,81.1,0,0.75,2016_31,420.0,2016,normal
2016-08-02,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,15.69,80.7,0,1.5,2016_31,420.0,2016,normal
2016-08-05,Near-VC,700,700,900,99.8,80,44.0,5,WIN,120.0,Bull Put,14.35,85.6,0,0.75,2016_31,420.0,2016,normal
2016-08-08,Monday-RW,600,600,800,99.4,45,20.9,6,WIN,155.0,Bull Put,14.59,82.6,0,0.75,2016_32,420.0,2016,normal
2016-08-09,NarrowCondor,400+400,400,600,93.1,220,116.0,6,WIN,180.0,Condor,14.54,83.1,0,1.0,2016_32,420.0,2016,normal
2016-08-16,NarrowCondor,400+400,400,600,92.7,220,116.0,5,WIN,180.0,Condor,14.18,84.4,0,1.0,2016_33,420.0,2016,normal
2016-08-18,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.55,81.8,0,1.5,2016_33,420.0,2016,normal
2016-08-22,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,14.24,78.7,0,0.75,2016_34,420.0,2016,normal
2016-08-23,NarrowCondor,400+400,400,600,94.9,220,116.0,7,WIN,180.0,Condor,13.9,77.4,0,1.0,2016_34,420.0,2016,normal
2016-08-29,Monday-RW,600,600,800,99.7,45,20.9,5,WIN,155.0,Bull Put,13.17,76.4,0,0.75,2016_35,420.0,2016,normal
2016-08-30,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,13.02,80.3,0,1.5,2016_35,420.0,2016,normal
2016-09-06,Normal,550,550,750,98.9,60,31.0,7,WIN,140.0,Bull Put,12.75,81.2,2,1.5,2016_36,420.0,2016,normal
2016-09-07,Normal,550,550,750,99.1,60,31.0,7,WIN,140.0,Bull Put,13.15,79.4,2,1.5,2016_36,420.0,2016,normal
2016-09-14,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,14.76,82.7,2,1.5,2016_37,420.0,2016,normal
2016-09-15,NarrowCondor,400+400,400,600,94.1,220,116.0,6,WIN,180.0,Condor,14.68,80.1,1,1.0,2016_37,420.0,2016,normal
2016-09-19,Monday-RW,600,600,800,99.6,45,20.9,6,WIN,155.0,Bull Put,14.94,79.2,1,0.75,2016_38,420.0,2016,normal
2016-09-20,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,14.78,77.6,1,1.5,2016_38,420.0,2016,normal
2016-09-23,Near-VC,700,700,900,99.9,80,44.0,6,WIN,120.0,Bull Put,13.25,78.6,0,0.75,2016_38,420.0,2016,normal
2016-09-27,NarrowCondor,400+400,400,600,93.9,220,116.0,6,WIN,180.0,Condor,14.25,80.6,0,1.0,2016_39,420.0,2016,normal
2016-09-28,Wednesday-MW,600,600,800,99.6,50,24.0,5,WIN,150.0,Bull Put,13.85,79.3,0,0.75,2016_39,420.0,2016,normal
2016-10-03,VIX-Collapse,700,700,900,99.6,100,62.0,7,WIN,100.0,Bull Put,15.62,92.6,0,1.5,2016_40,420.0,2016,normal
2016-10-04,Near-VC,700,700,900,99.7,80,44.0,7,WIN,120.0,Bull Put,14.99,89.3,0,0.75,2016_40,420.0,2016,normal
2016-10-06,Cautious,650,650,850,99.4,40,16.0,6,WIN,160.0,Bull Put,14.84,89.8,0,1.5,2016_40,420.0,2016,normal
2016-10-10,Monday-RW,600,600,800,99.2,45,20.9,6,WIN,155.0,Bull Put,14.29,84.9,0,0.75,2016_41,420.0,2016,normal
2016-10-14,NarrowCondor,400+400,400,600,91.2,220,116.0,7,WIN,180.0,Condor,14.89,88.5,1,1.0,2016_41,420.0,2016,normal
2016-10-18,NarrowCondor,400+400,400,600,88.9,220,116.0,5,WIN,180.0,Condor,14.54,94.9,0,1.0,2016_42,420.0,2016,normal
2016-10-19,Wednesday-MW,600,600,800,98.6,50,24.0,5,WIN,150.0,Bull Put,14.61,92.4,0,0.75,2016_42,420.0,2016,normal
2016-10-24,Monday-RW,600,600,800,99.2,45,20.9,7,WIN,155.0,Bull Put,14.33,85.8,1,0.75,2016_43,420.0,2016,normal
2016-10-25,NarrowCondor,400+400,400,600,92.9,220,116.0,7,WIN,180.0,Condor,14.48,83.8,0,1.0,2016_43,420.0,2016,normal
2016-11-03,Bear-Call,550,550,750,98.9,60,32.0,6,WIN,140.0,Bear Call,16.47,82.2,0,1.5,2016_44,300.0,2016,elevated
2016-11-08,Bear-Call,550,550,750,98.6,60,32.0,5,WIN,140.0,Bear Call,16.77,84.4,0,1.5,2016_45,300.0,2016,elevated
2016-11-24,Bear-Call,550,550,750,91.7,60,32.0,7,WIN,140.0,Bear Call,17.16,119.7,2,1.0,2016_47,300.0,2016,elevated
2016-11-29,Normal,550,550,750,92.7,60,31.0,5,WIN,140.0,Bull Put,17.71,115.8,1,1.0,2016_48,300.0,2016,elevated
2016-11-30,Normal,550,550,750,93.1,60,31.0,6,WIN,140.0,Bull Put,16.85,114.3,2,1.0,2016_48,300.0,2016,elevated
2016-12-05,Normal,550,550,750,94.2,60,31.0,5,WIN,140.0,Bull Put,17.29,109.8,0,1.0,2016_49,300.0,2016,elevated
2016-12-06,Normal,550,550,750,95.1,60,31.0,5,WIN,140.0,Bull Put,17.11,105.4,0,1.5,2016_49,300.0,2016,elevated
2016-12-09,Near-VC,700,700,900,99.0,80,44.0,7,WIN,120.0,Bull Put,15.07,103.0,1,0.75,2016_49,420.0,2016,normal
2016-12-13,NarrowCondor,400+400,400,600,86.7,220,116.0,7,WIN,180.0,Condor,15.92,100.7,0,1.0,2016_50,420.0,2016,normal
2016-12-15,Bear-Call,550,550,750,96.5,60,32.0,5,WIN,140.0,Bear Call,15.66,98.5,0,1.5,2016_50,420.0,2016,normal
2016-12-19,Monday-RW,600,600,800,98.7,45,20.9,6,WIN,155.0,Bull Put,14.84,91.4,0,0.75,2016_51,420.0,2016,normal
2016-12-20,Bear-Call,550,550,750,98.0,60,32.0,5,WIN,140.0,Bear Call,14.54,89.3,0,1.5,2016_51,420.0,2016,normal
2016-12-27,Bear-Call,550,550,750,97.7,60,32.0,7,WIN,140.0,Bear Call,15.08,91.2,0,1.5,2016_52,420.0,2016,normal
2016-12-28,Wednesday-MW,600,600,800,98.8,50,24.0,5,WIN,150.0,Bull Put,15.54,89.9,0,0.75,2016_52,420.0,2016,normal
2017-01-02,Monday-RW,600,600,800,98.9,45,20.9,5,WIN,155.0,Bull Put,15.83,89.1,1,0.75,2017_01,420.0,2017,normal
2017-01-03,NarrowCondor,400+400,400,600,91.5,220,116.0,7,WIN,180.0,Condor,15.96,87.8,0,1.0,2017_01,420.0,2017,normal
2017-01-09,Monday-RW,600,600,800,99.5,45,20.9,5,WIN,155.0,Bull Put,15.48,79.9,0,0.75,2017_02,420.0,2017,normal
2017-01-10,NarrowCondor,400+400,400,600,94.6,220,116.0,7,WIN,180.0,Condor,15.2,78.4,0,1.0,2017_02,420.0,2017,normal
2017-01-17,Normal,550,550,750,99.4,60,31.0,5,WIN,140.0,Bull Put,15.39,74.9,1,1.5,2017_03,420.0,2017,normal
2017-01-18,Wednesday-MW,600,600,800,99.8,50,24.0,5,WIN,150.0,Bull Put,15.18,74.6,1,0.75,2017_03,420.0,2017,normal
2017-01-23,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,15.91,73.7,0,0.75,2017_04,420.0,2017,normal
2017-01-24,Normal,550,550,750,99.5,60,31.0,5,WIN,140.0,Bull Put,15.29,74.3,0,1.5,2017_04,420.0,2017,normal
2017-01-31,Normal,550,550,750,99.4,60,31.0,5,WIN,140.0,Bull Put,16.83,76.4,0,1.5,2017_05,300.0,2017,elevated
2017-02-01,VIX-Collapse,700,700,900,99.8,100,62.0,5,WIN,100.0,Bull Put,13.97,84.1,1,1.5,2017_05,420.0,2017,normal
2017-02-02,VIX-Collapse,700,700,900,99.9,100,62.0,5,WIN,100.0,Bull Put,13.52,83.2,0,1.5,2017_05,420.0,2017,normal
2017-02-06,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,13.4,79.8,0,0.75,2017_06,420.0,2017,normal
2017-02-07,Normal,550,550,750,99.2,60,31.0,5,WIN,140.0,Bull Put,13.51,78.8,1,1.5,2017_06,420.0,2017,normal
2017-02-13,Monday-RW,600,600,800,99.7,45,20.9,5,WIN,155.0,Bull Put,13.69,77.4,0,0.75,2017_07,420.0,2017,normal
2017-02-14,NarrowCondor,400+400,400,600,95.5,220,116.0,7,WIN,180.0,Condor,13.8,75.3,0,1.5,2017_07,420.0,2017,normal
2017-02-20,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,13.61,77.9,0,0.75,2017_08,420.0,2017,normal
2017-02-21,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,13.53,76.6,0,1.5,2017_08,420.0,2017,normal
2017-02-27,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,13.68,72.8,0,0.75,2017_09,420.0,2017,normal
2017-02-28,NarrowCondor,400+400,400,600,96.7,220,116.0,6,WIN,180.0,Condor,13.79,71.0,0,1.5,2017_09,420.0,2017,normal
2017-03-06,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,13.64,72.3,0,0.75,2017_10,420.0,2017,normal
2017-03-07,Normal,550,550,750,99.7,60,31.0,5,WIN,140.0,Bull Put,13.88,70.4,0,1.5,2017_10,420.0,2017,normal
2017-03-15,Near-VC,700,700,900,100.0,80,44.0,6,WIN,120.0,Bull Put,12.42,73.5,0,0.75,2017_11,420.0,2017,normal
2017-03-16,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.91,73.6,1,0.75,2017_11,420.0,2017,ultra-calm
2017-03-20,Monday-RW,600,600,800,99.8,45,20.9,6,WIN,155.0,Bull Put,12.02,71.5,1,0.75,2017_12,420.0,2017,normal
2017-03-21,Aggressive,450,450,650,98.4,100,65.0,6,WIN,100.0,Bull Put,11.94,70.7,0,1.5,2017_12,600.0,2017,ultra-calm
2017-03-23,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.84,73.1,0,0.75,2017_12,600.0,2017,ultra-calm
2017-03-24,NarrowCondor,400+400,400,600,96.5,220,116.0,7,WIN,180.0,Condor,11.98,71.6,0,1.5,2017_12,600.0,2017,ultra-calm
2017-03-27,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,12.44,71.9,0,0.75,2017_13,420.0,2017,normal
2017-03-28,NarrowCondor,400+400,400,600,96.7,220,116.0,7,WIN,180.0,Condor,12.12,70.8,0,1.5,2017_13,420.0,2017,normal
2017-04-03,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,11.49,65.7,1,0.75,2017_14,420.0,2017,ultra-calm
2017-04-05,Butterfly,±200,200,500,83.0,180,156.0,4,WIN,40.0,Butterfly,11.55,65.2,0,0.75,2017_14,600.0,2017,ultra-calm
2017-04-06,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.29,64.0,0,0.75,2017_14,600.0,2017,ultra-calm
2017-04-07,Friday-SNP,600,600,800,100.0,42,16.4,4,WIN,158.0,Bull Put,11.69,64.3,0,0.75,2017_14,600.0,2017,ultra-calm
2017-04-10,Butterfly,±200,200,500,84.2,180,156.0,4,WIN,40.0,Butterfly,11.62,63.3,0,0.75,2017_15,600.0,2017,ultra-calm
2017-04-11,NarrowCondor,400+400,400,600,98.2,220,116.0,6,WIN,180.0,Condor,11.4,63.7,0,1.5,2017_15,600.0,2017,ultra-calm
2017-04-12,Wednesday-MW,600,600,800,100.0,50,24.0,6,WIN,150.0,Bull Put,11.63,65.1,0,0.75,2017_15,600.0,2017,ultra-calm
2017-04-13,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.58,64.6,0,0.75,2017_15,600.0,2017,ultra-calm
2017-04-17,Butterfly,±200,200,500,84.6,180,156.0,3,WIN,40.0,Butterfly,11.89,62.8,0,0.75,2017_16,600.0,2017,ultra-calm
2017-04-19,Wednesday-MW,600,600,800,99.9,50,24.0,5,WIN,150.0,Bull Put,12.22,65.5,0,0.75,2017_16,420.0,2017,normal
2017-04-20,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.56,63.4,0,0.75,2017_16,600.0,2017,ultra-calm
2017-04-21,Friday-SNP,600,600,800,100.0,42,16.4,4,WIN,158.0,Bull Put,11.42,65.6,0,0.75,2017_16,600.0,2017,ultra-calm
2017-04-24,Butterfly,±200,200,500,80.8,180,156.0,5,WIN,40.0,Butterfly,11.63,68.5,0,0.75,2017_17,600.0,2017,ultra-calm
2017-04-27,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.07,72.1,1,0.75,2017_17,420.0,2017,ultra-calm
2017-04-28,Friday-SNP,600,600,800,99.9,42,16.4,4,WIN,158.0,Bull Put,10.86,71.2,0,0.75,2017_17,600.0,2017,ultra-calm
2017-05-03,Wednesday-MW,600,600,800,99.9,50,24.0,5,WIN,150.0,Bull Put,11.53,70.1,0,0.75,2017_18,600.0,2017,ultra-calm
2017-05-04,Butterfly,±200,200,500,80.2,180,156.0,4,WIN,40.0,Butterfly,11.33,69.5,0,0.75,2017_18,600.0,2017,ultra-calm
2017-05-08,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,11.67,71.1,0,0.75,2017_19,600.0,2017,ultra-calm
2017-05-09,NarrowCondor,400+400,400,600,97.3,220,116.0,7,WIN,180.0,Condor,11.11,68.2,1,1.5,2017_19,420.0,2017,ultra-calm
2017-05-15,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,10.68,65.8,1,0.75,2017_20,420.0,2017,ultra-calm
2017-05-16,Normal,550,550,750,99.8,60,31.0,6,WIN,140.0,Bull Put,10.56,66.2,2,1.5,2017_20,420.0,2017,ultra-calm
2017-05-19,NarrowCondor,400+400,400,600,96.8,220,116.0,7,WIN,180.0,Condor,11.3,70.4,0,1.5,2017_20,600.0,2017,ultra-calm
2017-05-22,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,11.2,70.5,0,0.75,2017_21,600.0,2017,ultra-calm
2017-05-24,Wednesday-MW,600,600,800,99.8,50,24.0,5,WIN,150.0,Bull Put,11.83,72.3,0,0.75,2017_21,600.0,2017,ultra-calm
2017-05-25,Near-VC,700,700,900,99.9,80,44.0,5,WIN,120.0,Bull Put,10.45,78.1,0,0.75,2017_21,600.0,2017,ultra-calm
2017-05-26,Friday-SNP,600,600,800,99.8,42,16.4,4,WIN,158.0,Bull Put,10.86,80.2,0,0.75,2017_21,600.0,2017,ultra-calm
2017-05-30,Normal,550,550,750,99.2,60,31.0,5,WIN,140.0,Bull Put,11.77,78.8,1,1.5,2017_22,420.0,2017,ultra-calm
2017-05-31,Wednesday-MW,600,600,800,99.7,50,24.0,5,WIN,150.0,Bull Put,11.76,76.0,1,0.75,2017_22,420.0,2017,ultra-calm
2017-06-01,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.31,73.8,0,0.75,2017_22,600.0,2017,ultra-calm
2017-06-05,Monday-RW,600,600,800,99.9,45,20.9,6,WIN,155.0,Bull Put,11.02,70.6,0,0.75,2017_23,600.0,2017,ultra-calm
2017-06-06,NarrowCondor,400+400,400,600,96.7,220,116.0,5,WIN,180.0,Condor,11.13,71.0,0,1.5,2017_23,600.0,2017,ultra-calm
2017-06-07,Butterfly,±200,200,500,80.3,180,156.0,5,WIN,40.0,Butterfly,10.89,69.3,0,0.75,2017_23,600.0,2017,ultra-calm
2017-06-08,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.07,67.6,0,0.75,2017_23,600.0,2017,ultra-calm
2017-06-13,Butterfly,±200,200,500,81.8,180,156.0,3,WIN,40.0,Butterfly,11.34,67.0,0,0.75,2017_24,600.0,2017,ultra-calm
2017-06-14,Wednesday-MW,600,600,800,99.9,50,24.0,5,WIN,150.0,Bull Put,11.18,65.3,0,0.75,2017_24,600.0,2017,ultra-calm
2017-06-15,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.33,64.7,0,0.75,2017_24,600.0,2017,ultra-calm
2017-06-16,Friday-SNP,600,600,800,100.0,42,16.4,4,WIN,158.0,Bull Put,10.92,63.7,0,0.75,2017_24,600.0,2017,ultra-calm
2017-06-19,Butterfly,±200,200,500,82.5,180,156.0,5,WIN,40.0,Butterfly,10.63,65.9,0,0.75,2017_25,600.0,2017,ultra-calm
2017-06-20,Aggressive,450,450,650,99.3,100,65.0,7,WIN,100.0,Bull Put,10.66,63.5,0,1.5,2017_25,600.0,2017,ultra-calm
2017-06-21,Wednesday-MW,600,600,800,100.0,50,24.0,6,WIN,150.0,Bull Put,10.92,61.9,0,0.75,2017_25,600.0,2017,ultra-calm
2017-06-22,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.21,63.2,0,0.75,2017_25,600.0,2017,ultra-calm
2017-06-28,Butterfly,±200,200,500,80.9,180,220.8,3,WIN,40.0,Butterfly,11.99,68.5,0,0.75,2017_26,600.0,2017,ultra-calm
2017-06-29,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.38,69.5,0,0.75,2017_26,600.0,2017,ultra-calm
2017-06-30,Friday-SNP,600,600,800,99.9,42,16.4,4,WIN,158.0,Bull Put,11.73,70.7,0,0.75,2017_26,600.0,2017,ultra-calm
2017-07-03,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,11.2,72.7,0,0.75,2017_27,600.0,2017,ultra-calm
2017-07-04,Aggressive,450,450,650,98.3,100,65.0,5,WIN,100.0,Bull Put,11.28,71.4,0,1.5,2017_27,600.0,2017,ultra-calm
2017-07-05,Butterfly,±200,200,500,80.6,180,220.8,3,WIN,40.0,Butterfly,11.15,68.8,0,0.75,2017_27,600.0,2017,ultra-calm
2017-07-06,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,10.98,68.3,0,0.75,2017_27,600.0,2017,ultra-calm
2017-07-10,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,10.91,69.9,0,0.75,2017_28,600.0,2017,ultra-calm
2017-07-11,Normal,550,550,750,99.7,60,31.0,5,WIN,140.0,Bull Put,10.89,69.8,1,1.5,2017_28,420.0,2017,ultra-calm
2017-07-17,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,11.46,66.1,1,0.75,2017_29,420.0,2017,ultra-calm
2017-07-19,Wednesday-MW,600,600,800,99.9,50,24.0,5,WIN,150.0,Bull Put,11.26,69.0,1,0.75,2017_29,420.0,2017,ultra-calm
